1 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0119858 , 1.50204e-05 , 0.012656 , 0.0246611
1 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0122828 , 1.90735e-05 , 0.0124791 , 0.024785
1 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011374 , 1.50204e-05 , 0.0131979 , 0.024591
1 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0115449 , 1.90735e-05 , 0.0120919 , 0.023659
1 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011523 , 1.50204e-05 , 0.012382 , 0.0239241
1 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011009 , 1.50204e-05 , 0.0126882 , 0.0237172
1 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0112598 , 1.62125e-05 , 0.012605 , 0.023885
1 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0112741 , 1.4782e-05 , 0.012403 , 0.0236962
1 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0113142 , 1.50204e-05 , 0.0125589 , 0.0238929
1 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0115731 , 1.5974e-05 , 0.0124121 , 0.0240049
1 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117459 , 1.62125e-05 , 0.0121078 , 0.023875
1 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117669 , 1.40667e-05 , 0.0121059 , 0.023891
1 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0113878 , 1.4782e-05 , 0.012464 , 0.0238729
1 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0119851 , 1.50204e-05 , 0.0119901 , 0.0239949
1 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011857 , 1.81198e-05 , 0.0120111 , 0.0238919
1 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0114641 , 1.5974e-05 , 0.012527 , 0.0240119
1 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0118811 , 1.50204e-05 , 0.0122499 , 0.0241499
1 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120869 , 1.81198e-05 , 0.0123639 , 0.024473
1 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0115569 , 1.50204e-05 , 0.0127411 , 0.024318
1 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011544 , 1.50204e-05 , 0.012774 , 0.024338
1 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011591 , 1.4782e-05 , 0.0126882 , 0.0243001
1 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120089 , 1.62125e-05 , 0.0122139 , 0.0242431
1 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120289 , 1.90735e-05 , 0.0122969 , 0.0243502
1 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117459 , 1.50204e-05 , 0.0133569 , 0.0251219
1 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011821 , 1.69277e-05 , 0.0129411 , 0.0247831
1 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012172 , 1.50204e-05 , 0.0122061 , 0.0243969
1 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117688 , 1.50204e-05 , 0.0125468 , 0.0243371
1 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011827 , 1.50204e-05 , 0.012749 , 0.0245938
1 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123198 , 1.5974e-05 , 0.012419 , 0.02476
1 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123401 , 1.50204e-05 , 0.0123141 , 0.024673
1 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123689 , 1.5974e-05 , 0.0125511 , 0.02494
1 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120058 , 3.19481e-05 , 0.012754 , 0.024796
1 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0122471 , 1.50204e-05 , 0.0128551 , 0.025121
1 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012043 , 1.62125e-05 , 0.0126908 , 0.0247562
1 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0111349 , 1.50204e-05 , 0.0133982 , 0.0245521
1 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0115359 , 1.88351e-05 , 0.0121331 , 0.0236931
1 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0114899 , 1.50204e-05 , 0.012449 , 0.023958
1 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0116119 , 1.4782e-05 , 0.012223 , 0.023855
1 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0113709 , 1.50204e-05 , 0.0124271 , 0.0238171
1 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0116489 , 1.50204e-05 , 0.0120621 , 0.0237319
1 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120771 , 1.50204e-05 , 0.0122499 , 0.0243461
1 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.01125 , 1.81198e-05 , 0.012588 , 0.02386
1 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117252 , 1.5974e-05 , 0.0121341 , 0.023881
1 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117369 , 1.40667e-05 , 0.0122571 , 0.024013
1 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011358 , 1.5974e-05 , 0.0124681 , 0.023845
1 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011843 , 1.50204e-05 , 0.0121219 , 0.0239849
1 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117691 , 1.4782e-05 , 0.012274 , 0.0240622
1 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011457 , 1.50204e-05 , 0.012449 , 0.0239258
1 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0115192 , 1.5974e-05 , 0.012408 , 0.023947
1 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0115099 , 1.5974e-05 , 0.012495 , 0.024024
1 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0119331 , 1.5974e-05 , 0.0121689 , 0.024122
1 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011426 , 1.81198e-05 , 0.012578 , 0.0240271
1 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120251 , 1.50204e-05 , 0.0122969 , 0.0243409
1 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120351 , 1.50204e-05 , 0.012291 , 0.0243459
1 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120699 , 1.81198e-05 , 0.012126 , 0.0242181
1 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120971 , 1.50204e-05 , 0.012398 , 0.0245149
1 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0116799 , 1.5974e-05 , 0.0126269 , 0.024328
1 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0122979 , 1.81198e-05 , 0.012444 , 0.0247631
1 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011848 , 1.71661e-05 , 0.012944 , 0.0248151
1 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011858 , 2.09808e-05 , 0.012763 , 0.024647
1 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012275 , 1.5974e-05 , 0.0123279 , 0.0246229
1 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123191 , 1.69277e-05 , 0.012358 , 0.0246992
1 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0119531 , 1.88351e-05 , 0.013123 , 0.0251
1 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123181 , 1.40667e-05 , 0.0123758 , 0.0247128
1 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120051 , 1.50204e-05 , 0.0126641 , 0.024689
1 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120649 , 1.5974e-05 , 0.0126472 , 0.0247331
1 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0111501 , 1.69277e-05 , 0.013397 , 0.0245681
1 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0115709 , 2.00272e-05 , 0.0121119 , 0.0237072
1 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0112021 , 1.5974e-05 , 0.0126319 , 0.023855
1 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0111601 , 1.50204e-05 , 0.012516 , 0.0236962
1 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0112841 , 2.7895e-05 , 0.012614 , 0.0239301
1 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0112581 , 1.5974e-05 , 0.0124409 , 0.0237191
1 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0114131 , 1.50204e-05 , 0.0123289 , 0.0237598
1 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0122039 , 1.71661e-05 , 0.0128 , 0.0250261
1 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0117881 , 1.50204e-05 , 0.0121019 , 0.0239079
1 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0118401 , 1.69277e-05 , 0.012506 , 0.0243678
1 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0113699 , 1.50204e-05 , 0.0125279 , 0.023917
1 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0118508 , 1.50204e-05 , 0.012089 , 0.0239589
1 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0123529 , 1.5974e-05 , 0.01227 , 0.024642
1 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0112731 , 1.50204e-05 , 0.012785 , 0.0240779
1 , 15 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011456 , 1.4782e-05 , 0.0124371 , 0.0239139
1 , 16 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011919 , 1.5974e-05 , 0.0120869 , 0.0240259
1 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011513 , 1.50204e-05 , 0.0124519 , 0.023984
1 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.011977 , 1.38283e-05 , 0.0122242 , 0.0242221
1 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0120101 , 1.50204e-05 , 0.012198 , 0.0242271
1 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0118639 , 1.50204e-05 , 0.0124512 , 0.024334
1 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0116422 , 1.4782e-05 , 0.0127411 , 0.0244031
1 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012342 , 1.50204e-05 , 0.0124311 , 0.0247931
1 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012157 , 1.5974e-05 , 0.012465 , 0.0246429
1 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0119832 , 1.78814e-05 , 0.0132642 , 0.0252681
1 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.012182 , 1.40667e-05 , 0.0122399 , 0.024441
