1 , 7 , mapped-by-core , 2048 x 2048 , 0.0111699 , 1.3113e-05 , 0.0124509 , 0.023639
1 , 8 , mapped-by-core , 2048 x 2048 , 0.0112431 , 1.38283e-05 , 0.0125031 , 0.0237641
33 , 32 , mapped-by-core , 2048 x 2048 , 0.310491 , 8.60691e-05 , 0.40995 , 0.720531
1 , 9 , mapped-by-core , 2048 x 2048 , 0.0118091 , 1.78814e-05 , 0.0118659 , 0.0236988
1 , 10 , mapped-by-core , 2048 x 2048 , 0.0116639 , 1.50204e-05 , 0.0120029 , 0.0236869
33 , 1 , mapped-by-core , 2048 x 2048 , 0.183513 , 9.10759e-05 , 0.249891 , 0.433499
1 , 11 , mapped-by-core , 2048 x 2048 , 0.0113828 , 1.40667e-05 , 0.012506 , 0.023906
33 , 2 , mapped-by-core , 2048 x 2048 , 0.181898 , 8.2016e-05 , 0.03809 , 0.220075
1 , 12 , mapped-by-core , 2048 x 2048 , 0.0117049 , 1.40667e-05 , 0.012238 , 0.0239611
1 , 13 , mapped-by-core , 2048 x 2048 , 0.011961 , 1.3113e-05 , 0.0118589 , 0.0238369
33 , 3 , mapped-by-core , 2048 x 2048 , 0.089396 , 9.48906e-05 , 0.0548561 , 0.14435
1 , 14 , mapped-by-core , 2048 x 2048 , 0.0118032 , 1.28746e-05 , 0.0121391 , 0.0239611
1 , 15 , mapped-by-core , 2048 x 2048 , 0.0114732 , 1.28746e-05 , 0.0124741 , 0.0239639
33 , 4 , mapped-by-core , 2048 x 2048 , 0.0669999 , 7.9155e-05 , 0.234891 , 0.301973
1 , 16 , mapped-by-core , 2048 x 2048 , 0.0119569 , 1.3113e-05 , 0.0123448 , 0.0243189
33 , 5 , mapped-by-core , 2048 x 2048 , 0.125311 , 0.00718999 , 0.29262 , 0.42513
1 , 17 , mapped-by-core , 2048 x 2048 , 0.0118749 , 1.40667e-05 , 0.012399 , 0.024292
1 , 18 , mapped-by-core , 2048 x 2048 , 0.0118561 , 1.69277e-05 , 0.012135 , 0.0240109
33 , 6 , mapped-by-core , 2048 x 2048 , 0.0702801 , 0.00473189 , 0.0603721 , 0.135387
1 , 19 , mapped-by-core , 2048 x 2048 , 0.011518 , 1.3113e-05 , 0.0125699 , 0.0241039
33 , 7 , mapped-by-core , 2048 x 2048 , 0.0808449 , 8.01086e-05 , 0.106181 , 0.187109
1 , 20 , mapped-by-core , 2048 x 2048 , 0.0119801 , 1.28746e-05 , 0.012192 , 0.0241868
1 , 21 , mapped-by-core , 2048 x 2048 , 0.011543 , 1.3113e-05 , 0.0124509 , 0.0240109
33 , 8 , mapped-by-core , 2048 x 2048 , 0.124165 , 0.00491905 , 0.0907052 , 0.219794
1 , 22 , mapped-by-core , 2048 x 2048 , 0.0116529 , 1.38283e-05 , 0.0131528 , 0.0248249
1 , 23 , mapped-by-core , 2048 x 2048 , 0.011724 , 1.3113e-05 , 0.0125909 , 0.024334
33 , 9 , mapped-by-core , 2048 x 2048 , 0.121434 , 8.67844e-05 , 0.140013 , 0.261537
1 , 24 , mapped-by-core , 2048 x 2048 , 0.0116019 , 1.50204e-05 , 0.0128059 , 0.0244269
33 , 10 , mapped-by-core , 2048 x 2048 , 0.278932 , 9.20296e-05 , 0.135871 , 0.414899
1 , 25 , mapped-by-core , 2048 x 2048 , 0.01196 , 1.38283e-05 , 0.0125802 , 0.0245581
1 , 26 , mapped-by-core , 2048 x 2048 , 0.0123508 , 1.69277e-05 , 0.0130689 , 0.0254421
33 , 11 , mapped-by-core , 2048 x 2048 , 0.139768 , 8.29697e-05 , 0.152176 , 0.292032
1 , 27 , mapped-by-core , 2048 x 2048 , 0.0118179 , 1.40667e-05 , 0.0126472 , 0.024483
1 , 28 , mapped-by-core , 2048 x 2048 , 0.011986 , 1.50204e-05 , 0.013386 , 0.0253909
33 , 12 , mapped-by-core , 2048 x 2048 , 0.122575 , 0.0184748 , 0.063081 , 0.204135
1 , 29 , mapped-by-core , 2048 x 2048 , 0.012224 , 1.3113e-05 , 0.012383 , 0.0246251
33 , 13 , mapped-by-core , 2048 x 2048 , 0.154829 , 8.29697e-05 , 0.14158 , 0.296495
1 , 30 , mapped-by-core , 2048 x 2048 , 0.012517 , 1.40667e-05 , 0.012538 , 0.0250719
1 , 31 , mapped-by-core , 2048 x 2048 , 0.0120659 , 1.40667e-05 , 0.0123 , 0.0243831
33 , 14 , mapped-by-core , 2048 x 2048 , 0.149539 , 0.034539 , 0.089149 , 0.273231
1 , 32 , mapped-by-core , 2048 x 2048 , 0.012368 , 1.50204e-05 , 0.012481 , 0.0248671
1 , 1 , mapped-by-core , 2048 x 2048 , 0.0115631 , 1.28746e-05 , 0.0128491 , 0.0244281
33 , 15 , mapped-by-core , 2048 x 2048 , 0.162044 , 9.01222e-05 , 0.20764 , 0.369777
1 , 2 , mapped-by-core , 2048 x 2048 , 0.0110879 , 1.62125e-05 , 0.0124309 , 0.0235391
1 , 3 , mapped-by-core , 2048 x 2048 , 0.011137 , 1.38283e-05 , 0.0125182 , 0.0236721
33 , 16 , mapped-by-core , 2048 x 2048 , 0.306179 , 0.0231431 , 0.0897958 , 0.419121
1 , 4 , mapped-by-core , 2048 x 2048 , 0.0115259 , 1.40667e-05 , 0.012382 , 0.023926
33 , 17 , mapped-by-core , 2048 x 2048 , 0.333968 , 8.70228e-05 , 0.125119 , 0.459178
1 , 5 , mapped-by-core , 2048 x 2048 , 0.0115881 , 2.5034e-05 , 0.0122418 , 0.02386
1 , 6 , mapped-by-core , 2048 x 2048 , 0.0112379 , 1.3113e-05 , 0.0123749 , 0.023629
33 , 18 , mapped-by-core , 2048 x 2048 , 0.199726 , 9.799e-05 , 0.128056 , 0.327883
1 , 7 , mapped-by-core , 2048 x 2048 , 0.0114701 , 1.3113e-05 , 0.013108 , 0.024595
1 , 8 , mapped-by-core , 2048 x 2048 , 0.0110869 , 1.5974e-05 , 0.0126581 , 0.0237641
33 , 19 , mapped-by-core , 2048 x 2048 , 0.278668 , 8.2016e-05 , 0.141472 , 0.420227
1 , 9 , mapped-by-core , 2048 x 2048 , 0.0113111 , 1.5974e-05 , 0.01244 , 0.0237701
1 , 10 , mapped-by-core , 2048 x 2048 , 0.0116661 , 1.5974e-05 , 0.0119951 , 0.02368
33 , 20 , mapped-by-core , 2048 x 2048 , 0.212818 , 9.39369e-05 , 0.194262 , 0.407178
1 , 11 , mapped-by-core , 2048 x 2048 , 0.011724 , 1.40667e-05 , 0.0120621 , 0.0238039
1 , 12 , mapped-by-core , 2048 x 2048 , 0.011323 , 1.3113e-05 , 0.01246 , 0.0238001
33 , 21 , mapped-by-core , 2048 x 2048 , 0.242944 , 0.0501249 , 0.115398 , 0.40847
1 , 13 , mapped-by-core , 2048 x 2048 , 0.0118499 , 1.3113e-05 , 0.0120399 , 0.0239079
1 , 14 , mapped-by-core , 2048 x 2048 , 0.01139 , 1.28746e-05 , 0.0124202 , 0.0238261
33 , 22 , mapped-by-core , 2048 x 2048 , 0.246178 , 8.89301e-05 , 0.185601 , 0.431871
1 , 15 , mapped-by-core , 2048 x 2048 , 0.0114732 , 1.28746e-05 , 0.0124791 , 0.0239689
1 , 16 , mapped-by-core , 2048 x 2048 , 0.0118291 , 1.28746e-05 , 0.012197 , 0.0240419
33 , 23 , mapped-by-core , 2048 x 2048 , 0.242114 , 8.2016e-05 , 0.186138 , 0.428338
1 , 17 , mapped-by-core , 2048 x 2048 , 0.011904 , 1.3113e-05 , 0.0122139 , 0.024137
1 , 18 , mapped-by-core , 2048 x 2048 , 0.011482 , 1.3113e-05 , 0.0126178 , 0.0241182
33 , 24 , mapped-by-core , 2048 x 2048 , 0.246625 , 0.0277381 , 0.147739 , 0.422107
1 , 19 , mapped-by-core , 2048 x 2048 , 0.0123689 , 1.3113e-05 , 0.012445 , 0.024833
1 , 20 , mapped-by-core , 2048 x 2048 , 0.0119221 , 1.28746e-05 , 0.0122352 , 0.024174
33 , 25 , mapped-by-core , 2048 x 2048 , 0.224925 , 8.41618e-05 , 0.175126 , 0.400139
1 , 21 , mapped-by-core , 2048 x 2048 , 0.0119689 , 1.3113e-05 , 0.012326 , 0.024312
