8 , mapped-by-node , 2048 x 2048 , 0.0749922 , 3.29018e-05 , 0.074111 , 0.149137
8 , mapped-by-node , 2048 x 2048 , 0.075217 , 3.48091e-05 , 0.074508 , 0.149761
9 , mapped-by-node , 2048 x 2048 , 0.0669329 , 3.60012e-05 , 0.0655651 , 0.132534
9 , mapped-by-node , 2048 x 2048 , 0.0672669 , 3.60012e-05 , 0.0657229 , 0.133027
9 , mapped-by-node , 2048 x 2048 , 0.067126 , 3.60012e-05 , 0.066005 , 0.133167
9 , mapped-by-node , 2048 x 2048 , 0.066782 , 3.50475e-05 , 0.0656629 , 0.13248
9 , mapped-by-node , 2048 x 2048 , 0.0673442 , 3.38554e-05 , 0.065424 , 0.132803
10 , mapped-by-node , 2048 x 2048 , 0.074676 , 3.60012e-05 , 0.072989 , 0.147701
10 , mapped-by-node , 2048 x 2048 , 0.074208 , 3.48091e-05 , 0.0730782 , 0.147322
10 , mapped-by-node , 2048 x 2048 , 0.073992 , 3.69549e-05 , 0.0729101 , 0.146939
10 , mapped-by-node , 2048 x 2048 , 0.0752232 , 3.69549e-05 , 0.0736749 , 0.148936
10 , mapped-by-node , 2048 x 2048 , 0.075259 , 3.69549e-05 , 0.0730891 , 0.148386
11 , mapped-by-node , 2048 x 2048 , 0.069134 , 3.50475e-05 , 0.0671809 , 0.136351
11 , mapped-by-node , 2048 x 2048 , 0.0693011 , 3.50475e-05 , 0.0669761 , 0.136313
11 , mapped-by-node , 2048 x 2048 , 0.068279 , 3.50475e-05 , 0.0670991 , 0.135413
11 , mapped-by-node , 2048 x 2048 , 0.069135 , 3.69549e-05 , 0.0672021 , 0.136374
11 , mapped-by-node , 2048 x 2048 , 0.0683911 , 3.60012e-05 , 0.171422 , 0.239851
12 , mapped-by-node , 2048 x 2048 , 0.0748529 , 3.50475e-05 , 0.0735021 , 0.148392
12 , mapped-by-node , 2048 x 2048 , 0.0758529 , 3.50475e-05 , 0.0729721 , 0.148862
12 , mapped-by-node , 2048 x 2048 , 0.07687 , 3.60012e-05 , 0.0736952 , 0.150601
12 , mapped-by-node , 2048 x 2048 , 0.0750201 , 3.60012e-05 , 0.0732179 , 0.148275
12 , mapped-by-node , 2048 x 2048 , 0.075577 , 3.60012e-05 , 0.073055 , 0.148669
13 , mapped-by-node , 2048 x 2048 , 0.068712 , 4.50611e-05 , 0.0673299 , 0.136088
13 , mapped-by-node , 2048 x 2048 , 0.069875 , 4.1008e-05 , 0.068284 , 0.1382
13 , mapped-by-node , 2048 x 2048 , 0.0689631 , 4.19617e-05 , 0.0674589 , 0.136465
13 , mapped-by-node , 2048 x 2048 , 0.069313 , 5.00679e-05 , 0.0674348 , 0.136798
13 , mapped-by-node , 2048 x 2048 , 0.0694981 , 4.1008e-05 , 0.0676579 , 0.137198
14 , mapped-by-node , 2048 x 2048 , 0.230128 , 4.29153e-05 , 0.0731921 , 0.303363
14 , mapped-by-node , 2048 x 2048 , 0.075063 , 4.29153e-05 , 0.170257 , 0.245364
14 , mapped-by-node , 2048 x 2048 , 0.0761359 , 4.19617e-05 , 0.073164 , 0.149343
14 , mapped-by-node , 2048 x 2048 , 0.0741389 , 4.22001e-05 , 0.072855 , 0.147036
14 , mapped-by-node , 2048 x 2048 , 0.0745859 , 4.19617e-05 , 0.0728631 , 0.147491
15 , mapped-by-node , 2048 x 2048 , 0.0694251 , 3.60012e-05 , 0.068007 , 0.137468
15 , mapped-by-node , 2048 x 2048 , 0.070118 , 3.60012e-05 , 0.0684092 , 0.138564
15 , mapped-by-node , 2048 x 2048 , 0.0703621 , 3.50475e-05 , 0.0680468 , 0.138445
15 , mapped-by-node , 2048 x 2048 , 0.0704539 , 3.50475e-05 , 0.06847 , 0.13896
15 , mapped-by-node , 2048 x 2048 , 0.071151 , 3.60012e-05 , 0.068368 , 0.139555
16 , mapped-by-node , 2048 x 2048 , 0.0750701 , 3.60012e-05 , 0.073103 , 0.148209
16 , mapped-by-node , 2048 x 2048 , 0.15475 , 3.50475e-05 , 0.0728259 , 0.227613
16 , mapped-by-node , 2048 x 2048 , 0.0735359 , 3.60012e-05 , 0.072881 , 0.146453
16 , mapped-by-node , 2048 x 2048 , 0.0755191 , 3.50475e-05 , 0.0730069 , 0.148562
16 , mapped-by-node , 2048 x 2048 , 0.07425 , 4.00543e-05 , 0.0731618 , 0.147452
17 , mapped-by-node , 2048 x 2048 , 0.070493 , 6.69956e-05 , 0.0686772 , 0.139238
17 , mapped-by-node , 2048 x 2048 , 0.070339 , 7.10487e-05 , 0.068469 , 0.138879
17 , mapped-by-node , 2048 x 2048 , 0.070853 , 6.60419e-05 , 0.068455 , 0.139374
17 , mapped-by-node , 2048 x 2048 , 0.0700719 , 6.38962e-05 , 0.0682731 , 0.138409
17 , mapped-by-node , 2048 x 2048 , 0.070447 , 6.50883e-05 , 0.068655 , 0.139167
