20 , mapped-by-core-extra , 8196 x 8196 , 0.630594 , 7.15256e-06 , 0.153174 , 0.783778
20 , mapped-by-core-extra , 8196 x 8196 , 0.60546 , 2.86102e-06 , 0.116181 , 0.721647
21 , mapped-by-core-extra , 8196 x 8196 , 0.708218 , 9.05991e-06 , 0.119794 , 0.828024
21 , mapped-by-core-extra , 8196 x 8196 , 0.575787 , 3.8147e-06 , 0.14066 , 0.716454
21 , mapped-by-core-extra , 8196 x 8196 , 0.637853 , 9.05991e-06 , 0.164782 , 0.802649
21 , mapped-by-core-extra , 8196 x 8196 , 0.654019 , 2.86102e-06 , 0.116113 , 0.770138
21 , mapped-by-core-extra , 8196 x 8196 , 0.658431 , 7.15256e-06 , 0.116532 , 0.774973
22 , mapped-by-core-extra , 8196 x 8196 , 0.731898 , 8.10623e-06 , 0.121115 , 0.853026
22 , mapped-by-core-extra , 8196 x 8196 , 0.670552 , 7.86781e-06 , 0.1184 , 0.788964
22 , mapped-by-core-extra , 8196 x 8196 , 0.645499 , 8.10623e-06 , 0.149862 , 0.795373
22 , mapped-by-core-extra , 8196 x 8196 , 0.587693 , 6.91414e-06 , 0.147503 , 0.735207
22 , mapped-by-core-extra , 8196 x 8196 , 0.720148 , 8.10623e-06 , 0.118297 , 0.838457
23 , mapped-by-core-extra , 8196 x 8196 , 0.660121 , 5.96046e-06 , 0.114731 , 0.774863
23 , mapped-by-core-extra , 8196 x 8196 , 0.746232 , 3.09944e-06 , 0.118447 , 0.864685
23 , mapped-by-core-extra , 8196 x 8196 , 0.66003 , 9.05991e-06 , 0.118161 , 0.778203
23 , mapped-by-core-extra , 8196 x 8196 , 0.730721 , 7.86781e-06 , 0.120179 , 0.850911
23 , mapped-by-core-extra , 8196 x 8196 , 0.735187 , 9.05991e-06 , 0.120267 , 0.855468
24 , mapped-by-core-extra , 8196 x 8196 , 0.750255 , 8.10623e-06 , 0.119284 , 0.86955
24 , mapped-by-core-extra , 8196 x 8196 , 0.745293 , 1.40667e-05 , 0.168113 , 0.913423
24 , mapped-by-core-extra , 8196 x 8196 , 0.710809 , 1.21593e-05 , 0.160165 , 0.870989
24 , mapped-by-core-extra , 8196 x 8196 , 0.684523 , 8.82149e-06 , 0.120686 , 0.805221
24 , mapped-by-core-extra , 8196 x 8196 , 0.718323 , 5.00679e-06 , 0.121004 , 0.839335
25 , mapped-by-core-extra , 8196 x 8196 , 0.755395 , 1.00136e-05 , 0.123117 , 0.878528
25 , mapped-by-core-extra , 8196 x 8196 , 0.676839 , 8.82149e-06 , 0.144864 , 0.821716
25 , mapped-by-core-extra , 8196 x 8196 , 0.758373 , 8.82149e-06 , 0.120086 , 0.878471
25 , mapped-by-core-extra , 8196 x 8196 , 0.693435 , 7.86781e-06 , 0.120255 , 0.813701
25 , mapped-by-core-extra , 8196 x 8196 , 0.729295 , 3.09944e-06 , 0.121998 , 0.851301
26 , mapped-by-core-extra , 8196 x 8196 , 0.885526 , 1.19209e-05 , 0.121159 , 1.0067
26 , mapped-by-core-extra , 8196 x 8196 , 0.715767 , 1.00136e-05 , 0.117895 , 0.833677
26 , mapped-by-core-extra , 8196 x 8196 , 0.717462 , 1.19209e-05 , 0.121408 , 0.838887
26 , mapped-by-core-extra , 8196 x 8196 , 0.723689 , 8.10623e-06 , 0.116107 , 0.839808
26 , mapped-by-core-extra , 8196 x 8196 , 0.731525 , 9.05991e-06 , 0.123015 , 0.854553
