35 , 17 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.172259 , 8.79765e-05 , 0.149435 , 0.321787
35 , 18 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.237735 , 8.79765e-05 , 0.219643 , 0.45747
35 , 19 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.186722 , 0.00243378 , 0.169058 , 0.358218
35 , 20 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.197713 , 9.39369e-05 , 0.163729 , 0.361539
35 , 21 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.264619 , 8.70228e-05 , 0.390981 , 0.655689
35 , 22 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.195024 , 7.89165e-05 , 0.173851 , 0.368957
35 , 23 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.211986 , 0.03479 , 0.168418 , 0.415198
35 , 24 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.235187 , 8.79765e-05 , 0.18124 , 0.416519
35 , 25 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.254824 , 8.08239e-05 , 0.175215 , 0.430124
35 , 26 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.254673 , 0.0368991 , 0.16702 , 0.458597
35 , 27 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.293229 , 7.51019e-05 , 0.207915 , 0.501223
35 , 28 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.373906 , 7.89165e-05 , 0.230829 , 0.604818
35 , 29 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.269016 , 7.79629e-05 , 0.231046 , 0.500143
35 , 30 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.317846 , 7.48634e-05 , 0.233464 , 0.551388
35 , 31 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.29832 , 9.01222e-05 , 0.271819 , 0.570233
35 , 32 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.345337 , 7.60555e-05 , 0.223693 , 0.569111
35 , 1 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.153114 , 8.70228e-05 , 0.057385 , 0.21059
35 , 2 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0942149 , 8.60691e-05 , 0.0580149 , 0.152319
35 , 3 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.13042 , 0.00249696 , 0.0623851 , 0.195307
35 , 4 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.04793 , 8.79765e-05 , 0.071295 , 0.119316
35 , 5 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0735421 , 9.20296e-05 , 0.06932 , 0.142958
35 , 6 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0996749 , 8.29697e-05 , 0.0712171 , 0.170979
35 , 7 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.0900311 , 9.48906e-05 , 0.0785611 , 0.168691
35 , 8 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.108419 , 0.00722122 , 0.088913 , 0.204556
35 , 9 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.101474 , 9.60827e-05 , 0.0835071 , 0.185081
35 , 10 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.110395 , 8.32081e-05 , 0.10157 , 0.212053
35 , 11 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.136156 , 8.70228e-05 , 0.10803 , 0.244278
35 , 12 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.139682 , 8.79765e-05 , 0.09693 , 0.236704
35 , 13 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.144373 , 0.00939298 , 0.13396 , 0.287729
35 , 14 , mapped-by-core-mpi-openmp , 2048 x 2048 , 0.212539 , 7.39098e-05 , 0.104723 , 0.317341
