28 , --map-by core ETH Gather , 2048 x 2048 , 0.076762 , 6.19888e-05 , 0.0597069 , 0.136535 , 
28 , --map-by core ETH Gather , 2048 x 2048 , 0.0132411 , 6.98566e-05 , 0.00764704 , 0.020962 , 
28 , --map-by core ETH Gather , 2048 x 2048 , 0.013386 , 7.20024e-05 , 0.0180581 , 0.0315201 , 
29 , --map-by core ETH Gather , 2048 x 2048 , 0.0661159 , 6.91414e-05 , 0.0888488 , 0.155038 , 
29 , --map-by core ETH Gather , 2048 x 2048 , 0.013303 , 8.2016e-05 , 0.00733399 , 0.0207222 , 
29 , --map-by core ETH Gather , 2048 x 2048 , 0.0200739 , 6.10352e-05 , 0.0172899 , 0.037431 , 
29 , --map-by core ETH Gather , 2048 x 2048 , 0.037046 , 6.69956e-05 , 0.0379791 , 0.0750959 , 
29 , --map-by core ETH Gather , 2048 x 2048 , 0.0131989 , 7.82013e-05 , 0.00773883 , 0.0210199 , 
30 , --map-by core ETH Gather , 2048 x 2048 , 0.0373828 , 7.29561e-05 , 0.0332711 , 0.07073 , 
30 , --map-by core ETH Gather , 2048 x 2048 , 0.016211 , 5.4121e-05 , 0.0396669 , 0.055934 , 
30 , --map-by core ETH Gather , 2048 x 2048 , 0.0753522 , 5.88894e-05 , 0.0410149 , 0.11643 , 
30 , --map-by core ETH Gather , 2048 x 2048 , 0.0135119 , 9.29832e-05 , 0.00726199 , 0.02087 , 
30 , --map-by core ETH Gather , 2048 x 2048 , 0.0298362 , 7.60555e-05 , 0.017997 , 0.047914 , 
31 , --map-by core ETH Gather , 2048 x 2048 , 0.0370619 , 7.00951e-05 , 0.0167799 , 0.0539162 , 
31 , --map-by core ETH Gather , 2048 x 2048 , 0.044693 , 8.10623e-05 , 0.0396559 , 0.084434 , 
31 , --map-by core ETH Gather , 2048 x 2048 , 0.0563521 , 7.29561e-05 , 0.110586 , 0.167015 , 
31 , --map-by core ETH Gather , 2048 x 2048 , 0.110417 , 7.70092e-05 , 0.260275 , 0.370773 , 
31 , --map-by core ETH Gather , 2048 x 2048 , 0.0386701 , 8.41618e-05 , 0.027071 , 0.06583 , 
32 , --map-by core ETH Gather , 2048 x 2048 , 0.0179911 , 7.89165e-05 , 0.0177541 , 0.0358272 , 
32 , --map-by core ETH Gather , 2048 x 2048 , 0.0731268 , 7.41482e-05 , 0.0504329 , 0.123637 , 
32 , --map-by core ETH Gather , 2048 x 2048 , 0.136857 , 7.00951e-05 , 0.0796549 , 0.216585 , 
